District_name,Transaction_count,Transaction_amount,Quater,Year,State
south andaman,5688,12560249.343665812,1,2018,andaman-&-nicobar-islands
nicobars,528,1139848.801225994,1,2018,andaman-&-nicobar-islands
north and middle andaman,442,931663.0770939873,1,2018,andaman-&-nicobar-islands
south andaman,9395,23948235.51634325,2,2018,andaman-&-nicobar-islands
nicobars,1120,3072436.9081196385,2,2018,andaman-&-nicobar-islands
north and middle andaman,825,1317863.0834906558,2,2018,andaman-&-nicobar-islands
south andaman,13511,44268112.46425246,3,2018,andaman-&-nicobar-islands
nicobars,1471,6387829.151558982,3,2018,andaman-&-nicobar-islands
north and middle andaman,1283,4901529.518499676,3,2018,andaman-&-nicobar-islands
south andaman,20136,75411840.8018554,4,2018,andaman-&-nicobar-islands
north and middle andaman,2137,7955635.917688001,4,2018,andaman-&-nicobar-islands
nicobars,1485,7180859.354911782,4,2018,andaman-&-nicobar-islands
south andaman,25683,85501972.38780196,1,2019,andaman-&-nicobar-islands
north and middle andaman,3264,9561708.736298349,1,2019,andaman-&-nicobar-islands
nicobars,1539,7236059.549389593,1,2019,andaman-&-nicobar-islands
south andaman,28490,102530955.71341258,2,2019,andaman-&-nicobar-islands
north and middle andaman,3371,8612103.13788812,2,2019,andaman-&-nicobar-islands
nicobars,1828,9111650.82436246,2,2019,andaman-&-nicobar-islands
south andaman,27421,91023888.32848613,3,2019,andaman-&-nicobar-islands
north and middle andaman,4049,11481466.283356791,3,2019,andaman-&-nicobar-islands
nicobars,2300,11566421.475451011,3,2019,andaman-&-nicobar-islands
south andaman,27843,110930312.20611623,4,2019,andaman-&-nicobar-islands
north and middle andaman,4716,13524056.784573946,4,2019,andaman-&-nicobar-islands
nicobars,2600,12384161.52668771,4,2019,andaman-&-nicobar-islands
south andaman,32713,134679396.90582758,1,2020,andaman-&-nicobar-islands
north and middle andaman,5674,14697371.617857102,1,2020,andaman-&-nicobar-islands
nicobars,2911,12099543.773590053,1,2020,andaman-&-nicobar-islands
south andaman,48088,132855778.74838585,2,2020,andaman-&-nicobar-islands
