District_name,Reg_users,Pincodes,Reg_users_pin,Quater,Year,State
nicobars,262,744103,1608,1,2018,andaman-&-nicobar-islands
nicobars,262,744101,1108,1,2018,andaman-&-nicobar-islands
nicobars,262,744105,1075,1,2018,andaman-&-nicobar-islands
nicobars,262,744102,1006,1,2018,andaman-&-nicobar-islands
nicobars,262,744104,272,1,2018,andaman-&-nicobar-islands
nicobars,262,744202,237,1,2018,andaman-&-nicobar-islands
nicobars,262,744112,215,1,2018,andaman-&-nicobar-islands
nicobars,262,744301,207,1,2018,andaman-&-nicobar-islands
nicobars,262,744107,196,1,2018,andaman-&-nicobar-islands
nicobars,262,744211,156,1,2018,andaman-&-nicobar-islands
nicobars,351,744103,2188,2,2018,andaman-&-nicobar-islands
nicobars,351,744101,1521,2,2018,andaman-&-nicobar-islands
nicobars,351,744105,1492,2,2018,andaman-&-nicobar-islands
nicobars,351,744102,1419,2,2018,andaman-&-nicobar-islands
nicobars,351,744104,396,2,2018,andaman-&-nicobar-islands
nicobars,351,744202,343,2,2018,andaman-&-nicobar-islands
nicobars,351,744112,299,2,2018,andaman-&-nicobar-islands
nicobars,351,744107,293,2,2018,andaman-&-nicobar-islands
nicobars,351,744301,273,2,2018,andaman-&-nicobar-islands
nicobars,351,744211,240,2,2018,andaman-&-nicobar-islands
nicobars,467,744103,2741,3,2018,andaman-&-nicobar-islands
nicobars,467,744101,1978,3,2018,andaman-&-nicobar-islands
nicobars,467,744105,1935,3,2018,andaman-&-nicobar-islands
nicobars,467,744102,1803,3,2018,andaman-&-nicobar-islands
nicobars,467,744104,507,3,2018,andaman-&-nicobar-islands
nicobars,467,744202,446,3,2018,andaman-&-nicobar-islands
nicobars,467,744112,388,3,2018,andaman-&-nicobar-islands
nicobars,467,744107,384,3,2018,andaman-&-nicobar-islands
nicobars,467,744301,372,3,2018,andaman-&-nicobar-islands
nicobars,467,744211,327,3,2018,andaman-&-nicobar-islands
nicobars,536,744103,3373,4,2018,andaman-&-nicobar-islands
nicobars,536,744101,2498,4,2018,andaman-&-nicobar-islands
nicobars,536,744105,2416,4,2018,andaman-&-nicobar-islands
nicobars,536,744102,2231,4,2018,andaman-&-nicobar-islands
nicobars,536,744104,634,4,2018,andaman-&-nicobar-islands
nicobars,536,744202,554,4,2018,andaman-&-nicobar-islands
nicobars,536,744107,548,4,2018,andaman-&-nicobar-islands
nicobars,536,744112,496,4,2018,andaman-&-nicobar-islands
nicobars,536,744211,433,4,2018,andaman-&-nicobar-islands
nicobars,536,744301,425,4,2018,andaman-&-nicobar-islands
nicobars,622,744103,4136,1,2019,andaman-&-nicobar-islands
nicobars,622,744101,3030,1,2019,andaman-&-nicobar-islands
nicobars,622,744105,2994,1,2019,andaman-&-nicobar-islands
nicobars,622,744102,2667,1,2019,andaman-&-nicobar-islands
nicobars,622,744104,756,1,2019,andaman-&-nicobar-islands
nicobars,622,744202,753,1,2019,andaman-&-nicobar-islands
nicobars,622,744107,667,1,2019,andaman-&-nicobar-islands
nicobars,622,744112,585,1,2019,andaman-&-nicobar-islands
nicobars,622,744211,524,1,2019,andaman-&-nicobar-islands
nicobars,622,744301,488,1,2019,andaman-&-nicobar-islands
nicobars,693,744103,4748,2,2019,andaman-&-nicobar-islands
nicobars,693,744101,3631,2,2019,andaman-&-nicobar-islands
nicobars,693,744105,3547,2,2019,andaman-&-nicobar-islands
nicobars,693,744102,3008,2,2019,andaman-&-nicobar-islands
nicobars,693,744202,885,2,2019,andaman-&-nicobar-islands
nicobars,693,744104,878,2,2019,andaman-&-nicobar-islands
nicobars,693,744107,787,2,2019,andaman-&-nicobar-islands
nicobars,693,744112,672,2,2019,andaman-&-nicobar-islands
nicobars,693,744211,633,2,2019,andaman-&-nicobar-islands
nicobars,693,744301,534,2,2019,andaman-&-nicobar-islands
nicobars,751,744103,5218,3,2019,andaman-&-nicobar-islands
nicobars,751,744101,4026,3,2019,andaman-&-nicobar-islands
nicobars,751,744105,3920,3,2019,andaman-&-nicobar-islands
nicobars,751,744102,3250,3,2019,andaman-&-nicobar-islands
nicobars,751,744202,982,3,2019,andaman-&-nicobar-islands
nicobars,751,744104,975,3,2019,andaman-&-nicobar-islands
nicobars,751,744107,885,3,2019,andaman-&-nicobar-islands
nicobars,751,744112,765,3,2019,andaman-&-nicobar-islands
nicobars,751,744211,701,3,2019,andaman-&-nicobar-islands
nicobars,751,744301,575,3,2019,andaman-&-nicobar-islands
nicobars,803,744103,5637,4,2019,andaman-&-nicobar-islands
nicobars,803,744101,4321,4,2019,andaman-&-nicobar-islands
nicobars,803,744105,4277,4,2019,andaman-&-nicobar-islands
nicobars,803,744102,3485,4,2019,andaman-&-nicobar-islands
nicobars,803,744202,1087,4,2019,andaman-&-nicobar-islands
nicobars,803,744104,1062,4,2019,andaman-&-nicobar-islands
nicobars,803,744107,953,4,2019,andaman-&-nicobar-islands
nicobars,803,744112,812,4,2019,andaman-&-nicobar-islands
nicobars,803,744211,783,4,2019,andaman-&-nicobar-islands
nicobars,803,744301,611,4,2019,andaman-&-nicobar-islands
nicobars,879,744103,6108,1,2020,andaman-&-nicobar-islands
nicobars,879,744101,4689,1,2020,andaman-&-nicobar-islands
nicobars,879,744105,4684,1,2020,andaman-&-nicobar-islands
nicobars,879,744102,3727,1,2020,andaman-&-nicobar-islands
nicobars,879,744202,1216,1,2020,andaman-&-nicobar-islands
nicobars,879,744104,1154,1,2020,andaman-&-nicobar-islands
nicobars,879,744107,1062,1,2020,andaman-&-nicobar-islands
nicobars,879,744112,889,1,2020,andaman-&-nicobar-islands
nicobars,879,744211,886,1,2020,andaman-&-nicobar-islands
nicobars,879,744301,669,1,2020,andaman-&-nicobar-islands
nicobars,984,744103,6804,2,2020,andaman-&-nicobar-islands
nicobars,984,744105,5479,2,2020,andaman-&-nicobar-islands
nicobars,984,744101,5365,2,2020,andaman-&-nicobar-islands
nicobars,984,744102,4066,2,2020,andaman-&-nicobar-islands
nicobars,984,744202,1475,2,2020,andaman-&-nicobar-islands
nicobars,984,744104,1333,2,2020,andaman-&-nicobar-islands
nicobars,984,744107,1252,2,2020,andaman-&-nicobar-islands
nicobars,984,744112,1039,2,2020,andaman-&-nicobar-islands
nicobars,984,744211,1036,2,2020,andaman-&-nicobar-islands
nicobars,984,744205,806,2,2020,andaman-&-nicobar-islands
nicobars,1147,744103,8318,3,2020,andaman-&-nicobar-islands
nicobars,1147,744105,7007,3,2020,andaman-&-nicobar-islands
nicobars,1147,744101,6881,3,2020,andaman-&-nicobar-islands
nicobars,1147,744102,4919,3,2020,andaman-&-nicobar-islands
nicobars,1147,744202,1965,3,2020,andaman-&-nicobar-islands
nicobars,1147,744104,1718,3,2020,andaman-&-nicobar-islands
nicobars,1147,744107,1710,3,2020,andaman-&-nicobar-islands
nicobars,1147,744112,1372,3,2020,andaman-&-nicobar-islands
nicobars,1147,744211,1279,3,2020,andaman-&-nicobar-islands
nicobars,1147,744205,1008,3,2020,andaman-&-nicobar-islands
nicobars,1412,744103,10408,4,2020,andaman-&-nicobar-islands
nicobars,1412,744105,8962,4,2020,andaman-&-nicobar-islands
nicobars,1412,744101,8593,4,2020,andaman-&-nicobar-islands
nicobars,1412,744102,5882,4,2020,andaman-&-nicobar-islands
nicobars,1412,744202,2711,4,2020,andaman-&-nicobar-islands
nicobars,1412,744107,2346,4,2020,andaman-&-nicobar-islands
nicobars,1412,744104,2167,4,2020,andaman-&-nicobar-islands
nicobars,1412,744112,1761,4,2020,andaman-&-nicobar-islands
nicobars,1412,744211,1579,4,2020,andaman-&-nicobar-islands
nicobars,1412,744205,1346,4,2020,andaman-&-nicobar-islands
nicobars,1573,744103,11416,1,2021,andaman-&-nicobar-islands
nicobars,1573,744105,9934,1,2021,andaman-&-nicobar-islands
nicobars,1573,744101,9457,1,2021,andaman-&-nicobar-islands
nicobars,1573,744102,6395,1,2021,andaman-&-nicobar-islands
nicobars,1573,744202,3005,1,2021,andaman-&-nicobar-islands
nicobars,1573,744107,2586,1,2021,andaman-&-nicobar-islands
nicobars,1573,744104,2383,1,2021,andaman-&-nicobar-islands
nicobars,1573,744112,1940,1,2021,andaman-&-nicobar-islands
nicobars,1573,744211,1774,1,2021,andaman-&-nicobar-islands
nicobars,1573,744205,1505,1,2021,andaman-&-nicobar-islands
nicobars,1699,744103,12268,2,2021,andaman-&-nicobar-islands
nicobars,1699,744105,10668,2,2021,andaman-&-nicobar-islands
nicobars,1699,744101,10120,2,2021,andaman-&-nicobar-islands
nicobars,1699,744102,6837,2,2021,andaman-&-nicobar-islands
nicobars,1699,744202,3261,2,2021,andaman-&-nicobar-islands
nicobars,1699,744107,2783,2,2021,andaman-&-nicobar-islands
nicobars,1699,744104,2573,2,2021,andaman-&-nicobar-islands
nicobars,1699,744112,2083,2,2021,andaman-&-nicobar-islands
nicobars,1699,744211,1904,2,2021,andaman-&-nicobar-islands
nicobars,1699,744205,1626,2,2021,andaman-&-nicobar-islands
nicobars,1846,744103,13198,3,2021,andaman-&-nicobar-islands
nicobars,1846,744105,11480,3,2021,andaman-&-nicobar-islands
nicobars,1846,744101,10866,3,2021,andaman-&-nicobar-islands
nicobars,1846,744102,7313,3,2021,andaman-&-nicobar-islands
nicobars,1846,744202,3543,3,2021,andaman-&-nicobar-islands
nicobars,1846,744107,3027,3,2021,andaman-&-nicobar-islands
nicobars,1846,744104,2777,3,2021,andaman-&-nicobar-islands
nicobars,1846,744112,2250,3,2021,andaman-&-nicobar-islands
nicobars,1846,744211,2055,3,2021,andaman-&-nicobar-islands
nicobars,1846,744205,1771,3,2021,andaman-&-nicobar-islands
nicobars,1971,744103,14127,4,2021,andaman-&-nicobar-islands
nicobars,1971,744105,12300,4,2021,andaman-&-nicobar-islands
nicobars,1971,744101,11623,4,2021,andaman-&-nicobar-islands
nicobars,1971,744102,7813,4,2021,andaman-&-nicobar-islands
nicobars,1971,744202,3815,4,2021,andaman-&-nicobar-islands
nicobars,1971,744107,3247,4,2021,andaman-&-nicobar-islands
nicobars,1971,744104,2962,4,2021,andaman-&-nicobar-islands
nicobars,1971,744112,2411,4,2021,andaman-&-nicobar-islands
nicobars,1971,744211,2200,4,2021,andaman-&-nicobar-islands
nicobars,1971,744205,1902,4,2021,andaman-&-nicobar-islands
nicobars,2081,744103,15011,1,2022,andaman-&-nicobar-islands
nicobars,2081,744105,13070,1,2022,andaman-&-nicobar-islands
nicobars,2081,744101,12300,1,2022,andaman-&-nicobar-islands
nicobars,2081,744102,8271,1,2022,andaman-&-nicobar-islands
nicobars,2081,744202,4107,1,2022,andaman-&-nicobar-islands
nicobars,2081,744107,3455,1,2022,andaman-&-nicobar-islands
nicobars,2081,744104,3146,1,2022,andaman-&-nicobar-islands
nicobars,2081,744112,2552,1,2022,andaman-&-nicobar-islands
nicobars,2081,744211,2344,1,2022,andaman-&-nicobar-islands
nicobars,2081,744205,2034,1,2022,andaman-&-nicobar-islands
nicobars,2192,744103,15799,2,2022,andaman-&-nicobar-islands
nicobars,2192,744105,13791,2,2022,andaman-&-nicobar-islands
nicobars,2192,744101,12947,2,2022,andaman-&-nicobar-islands
nicobars,2192,744102,8709,2,2022,andaman-&-nicobar-islands
nicobars,2192,744202,4361,2,2022,andaman-&-nicobar-islands
nicobars,2192,744107,3674,2,2022,andaman-&-nicobar-islands
nicobars,2192,744104,3319,2,2022,andaman-&-nicobar-islands
nicobars,2192,744112,2700,2,2022,andaman-&-nicobar-islands
nicobars,2192,744211,2471,2,2022,andaman-&-nicobar-islands
nicobars,2192,744205,2162,2,2022,andaman-&-nicobar-islands
nicobars,2300,744103,16666,3,2022,andaman-&-nicobar-islands
nicobars,2300,744105,14503,3,2022,andaman-&-nicobar-islands
nicobars,2300,744101,13649,3,2022,andaman-&-nicobar-islands
nicobars,2300,744102,9148,3,2022,andaman-&-nicobar-islands
nicobars,2300,744202,4572,3,2022,andaman-&-nicobar-islands
nicobars,2300,744107,3868,3,2022,andaman-&-nicobar-islands
nicobars,2300,744104,3493,3,2022,andaman-&-nicobar-islands
nicobars,2300,744112,2837,3,2022,andaman-&-nicobar-islands
nicobars,2300,744211,2577,3,2022,andaman-&-nicobar-islands
nicobars,2300,744205,2268,3,2022,andaman-&-nicobar-islands
nicobars,2389,744103,17406,4,2022,andaman-&-nicobar-islands
nicobars,2389,744105,15185,4,2022,andaman-&-nicobar-islands
nicobars,2389,744101,14337,4,2022,andaman-&-nicobar-islands
nicobars,2389,744102,9591,4,2022,andaman-&-nicobar-islands
nicobars,2389,744202,4760,4,2022,andaman-&-nicobar-islands
nicobars,2389,744107,4051,4,2022,andaman-&-nicobar-islands
nicobars,2389,744104,3647,4,2022,andaman-&-nicobar-islands
nicobars,2389,744112,2975,4,2022,andaman-&-nicobar-islands
nicobars,2389,744211,2679,4,2022,andaman-&-nicobar-islands
